latitude,longitude,event_date,elevation,slope,aspect,curvature,landslide_type,state,region,source,landslide,rain_24h,rain_72h,rain_7d,rain_14d,rainfall_intensity
27.1787,88.1694,2020-07-05,1001.0,17.6,9.5,0.026,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,25.3,55.8,127.6,204.3,0.453
27.3164,88.779,2014-03-17,1190.4,12.9,346.0,-0.019,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.0,8.5,8.7,28.9,0.118
23.6764,92.6436,2015-12-25,857.4,15.5,226.4,0.014,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,4.1,5.4,7.0,23.7,0.759
27.2539,88.6635,2022-08-15,1325.1,21.5,154.4,-0.008,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,30.5,75.7,112.4,224.6,0.403
23.7211,92.7853,2015-02-03,942.8,10.8,3.9,-0.012,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,5.9,6.3,9.4,45.4,0.937
27.4622,88.5214,2015-12-08,888.2,11.3,118.3,0.084,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.8,8.4,20.9,39.6,0.333
27.1528,88.4661,2012-02-03,1174.3,13.9,319.6,-0.027,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.1,1.6,2.8,20.0,0.688
23.7436,92.6402,2013-12-08,864.1,6.1,295.9,-0.02,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,3.1,3.4,4.1,55.9,0.912
27.2547,88.3794,2020-02-24,920.1,20.0,201.0,-0.009,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.4,10.9,11.8,19.9,0.128
23.6223,92.7137,2019-02-26,878.1,16.2,210.0,-0.033,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,8.2,10.1,12.8,37.2,0.812
27.2005,88.7943,2013-01-22,1221.7,7.3,199.4,0.001,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,8.7,11.7,19.6,33.9,0.744
27.2211,88.7853,2023-01-22,1208.7,22.0,164.0,-0.058,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.5,3.0,6.5,17.0,0.167
27.148,88.8021,2012-11-24,1400.9,23.8,251.3,-0.077,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,4.2,8.8,10.2,39.2,0.477
27.1742,88.5359,2019-07-14,999.9,12.9,349.2,0.011,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,22.1,53.7,101.5,146.0,0.412
27.4788,88.5088,2013-11-26,1006.0,14.1,46.5,0.025,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,7.7,11.4,13.5,26.9,0.675
23.7436,92.6916,2012-12-27,879.8,12.8,278.0,-0.03,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.8,9.4,15.8,25.7,0.191
27.4356,88.4024,2015-07-14,1356.5,18.7,76.7,0.055,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,12.1,27.7,80.5,167.7,0.437
27.2612,88.4262,2018-06-06,1063.8,15.3,282.1,0.029,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,19.9,59.8,145.9,261.9,0.333
27.1729,88.7686,2016-11-10,604.9,14.3,352.8,-0.002,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.7,3.3,11.3,14.6,0.515
27.1473,88.2102,2020-11-05,1267.3,9.3,124.4,-0.038,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,5.7,8.3,17.1,19.4,0.687
27.1892,88.1486,2012-06-24,980.3,9.2,31.9,-0.032,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,11.6,45.0,88.4,157.5,0.258
27.3012,88.6033,2019-07-02,926.1,21.7,331.5,0.009,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,9.8,35.9,118.3,218.2,0.273
23.6569,92.6619,2014-06-20,770.5,14.3,132.8,-0.092,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,21.9,66.8,99.2,159.4,0.328
27.2169,88.3841,2021-02-19,943.1,8.2,320.6,-0.043,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.3,6.8,19.3,27.6,0.338
27.1513,88.496,2018-12-19,1637.4,13.8,45.9,0.022,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.8,2.6,10.9,21.0,0.308
27.2482,88.8106,2015-03-08,702.5,7.8,55.0,0.023,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.7,1.4,3.1,7.1,0.5
27.1824,88.7477,2022-08-15,1165.5,13.4,353.7,-0.033,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,11.4,42.3,135.3,244.5,0.27
27.4141,88.3005,2013-01-15,1310.3,22.7,200.4,-0.039,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.1,3.4,15.1,17.6,0.618
27.2365,88.4178,2013-01-18,629.2,8.1,219.8,0.002,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.9,4.4,5.7,13.6,0.205
27.3117,88.1563,2017-06-08,874.7,7.1,356.4,-0.015,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,17.7,65.1,111.7,206.2,0.272
27.3937,88.5369,2020-08-20,359.1,12.3,334.6,-0.032,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,32.9,86.5,124.6,223.1,0.38
23.8077,92.6562,2020-01-22,835.6,13.6,303.1,-0.006,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.4,6.7,8.5,10.6,0.06
27.1791,88.6902,2022-06-05,1242.7,12.5,315.8,0.083,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,19.8,67.5,126.0,196.2,0.293
27.2866,88.331,2023-12-05,1155.9,10.2,323.8,0.067,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.2,4.3,23.3,35.0,0.279
27.1621,88.7779,2023-03-07,676.9,8.5,285.8,0.046,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.4,5.4,23.3,41.9,0.444
27.1746,88.3382,2020-11-09,1415.7,6.6,205.2,-0.034,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,3.6,12.0,15.3,36.0,0.3
23.6421,92.7893,2013-11-27,771.4,17.0,54.0,-0.039,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.7,5.8,16.0,28.3,0.121
27.3698,88.4999,2014-08-06,902.4,9.3,327.0,-0.05,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,25.5,56.5,116.5,232.3,0.451
27.1752,88.5304,2018-12-01,1932.6,6.3,314.0,0.005,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,6.7,10.0,19.5,50.2,0.67
27.3746,88.2268,2023-02-18,1752.2,13.6,265.1,0.054,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,6.8,17.2,22.0,23.4,0.395
27.4745,88.7072,2020-07-14,1167.8,16.6,143.6,0.044,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,9.6,38.0,120.2,160.6,0.253
27.2401,88.3987,2012-08-07,1413.4,12.2,124.9,0.003,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,30.1,63.2,107.8,184.0,0.476
27.1707,88.2435,2017-12-28,287.0,22.5,130.5,-0.002,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.2,6.2,6.3,19.4,0.355
27.1841,88.7927,2014-02-28,1064.0,7.5,358.9,-0.044,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.7,5.3,5.9,22.5,0.321
27.1956,88.7486,2014-11-01,966.4,6.7,169.9,-0.022,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.1,2.4,14.4,21.6,0.875
27.3088,88.4285,2018-02-09,1548.7,8.8,65.5,-0.083,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,4.9,16.6,20.3,24.1,0.295
27.3518,88.4061,2018-01-28,1449.4,6.5,79.9,0.051,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.7,5.2,5.4,6.7,0.135
27.408,88.245,2019-08-10,758.9,7.8,87.5,0.029,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,29.7,78.9,162.9,234.7,0.376
27.3605,88.2635,2015-01-22,1339.8,6.2,30.8,-0.012,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.6,0.7,2.3,12.8,0.6
27.2717,88.7449,2013-08-12,982.7,10.7,136.7,0.042,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,25.7,51.4,122.0,194.8,0.5
27.3187,88.4253,2020-08-01,1217.5,19.7,50.4,-0.004,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,34.1,68.6,156.7,260.7,0.497
27.2731,88.1357,2014-12-09,1248.5,17.4,92.8,-0.068,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.4,7.6,40.9,49.9,0.053
27.3195,88.576,2017-09-20,836.9,20.9,74.3,0.065,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,28.0,50.0,139.4,212.9,0.56
27.1799,88.6366,2015-03-02,1209.8,10.4,140.1,-0.03,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.9,2.7,12.9,17.1,0.333
27.3239,88.4532,2020-07-12,1307.9,19.2,77.4,0.007,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,8.9,34.4,103.1,147.2,0.259
27.2987,88.5378,2017-12-11,1517.8,7.9,27.0,-0.028,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,3.3,6.0,15.3,22.1,0.55
27.2087,88.6934,2016-08-22,1352.4,10.9,212.5,0.039,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,18.8,37.5,127.1,178.0,0.501
27.4621,88.4322,2016-12-05,1206.9,21.7,263.6,-0.053,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,4.1,8.4,17.8,40.5,0.488
27.2099,88.4626,2018-02-20,1287.5,9.3,204.5,0.008,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,6.2,6.3,15.9,20.1,0.984
27.4528,88.7997,2012-03-10,1137.3,21.5,304.0,0.027,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.0,8.1,8.4,19.3,0.123
27.2028,88.2044,2021-03-15,1221.1,12.1,260.9,-0.019,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.2,1.7,7.9,26.7,0.118
27.2348,88.5581,2020-11-26,1235.5,10.2,8.8,0.036,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,5.1,5.2,21.8,30.8,0.981
23.8078,92.7798,2014-01-10,726.9,12.2,225.9,0.056,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,5.2,21.8,33.5,40.0,0.239
27.2717,88.6363,2017-01-27,1015.5,12.4,103.4,-0.011,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.9,2.0,2.3,2.5,0.45
23.8175,92.7056,2016-07-26,1099.1,8.3,342.0,-0.04,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,31.6,50.2,107.3,217.6,0.629
27.4601,88.4472,2015-09-20,790.7,23.8,83.4,0.015,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,36.3,77.3,146.8,227.8,0.47
27.203,88.2436,2018-07-23,950.6,20.0,126.0,-0.022,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,9.7,63.5,150.9,265.1,0.153
27.4782,88.2417,2015-02-21,1604.6,18.5,55.4,-0.023,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,4.2,5.2,7.2,16.4,0.808
27.3335,88.5261,2013-11-08,953.9,22.0,344.0,-0.016,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,5.0,11.6,20.1,29.7,0.431
27.1513,88.4059,2020-11-02,708.6,19.0,178.5,-0.029,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.2,1.2,10.4,11.4,0.167
27.4264,88.4666,2013-11-05,1958.6,20.8,125.2,-0.021,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.8,6.1,8.6,33.9,0.459
27.4071,88.5809,2020-12-11,1412.6,18.6,244.9,0.02,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.4,8.0,9.4,34.9,0.3
23.7944,92.6258,2021-12-14,789.9,10.0,267.7,0.006,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.4,7.2,21.5,30.0,0.056
27.1223,88.3209,2014-11-15,1211.2,17.4,93.5,0.002,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.5,5.6,17.7,19.1,0.446
27.394,88.4989,2022-08-25,1119.5,17.4,335.5,0.011,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,11.1,63.6,138.3,183.7,0.175
27.2283,88.6157,2015-03-15,1192.6,12.2,223.5,-0.028,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.1,8.3,37.3,78.9,0.012
27.3899,88.2111,2016-08-11,1651.0,18.3,160.5,-0.003,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,16.2,71.1,128.8,204.9,0.228
23.6527,92.779,2014-07-13,636.2,6.2,245.0,0.028,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,27.6,53.5,145.3,197.4,0.516
27.4419,88.281,2020-11-14,749.5,21.6,170.4,0.058,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,8.6,9.4,25.6,43.6,0.915
27.1317,88.7646,2021-06-28,1575.3,17.1,286.8,-0.041,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,11.8,54.2,112.2,168.2,0.218
23.7183,92.6328,2019-01-12,811.0,13.7,96.8,-0.025,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.5,1.5,2.1,8.1,1.0
27.3702,88.7221,2018-12-24,840.6,10.4,355.2,-0.002,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.4,3.2,10.9,25.4,0.125
27.3215,88.1268,2015-11-08,1216.7,7.6,126.2,-0.082,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.1,0.4,4.4,6.1,0.1
27.3243,88.6026,2018-03-22,967.2,9.0,37.6,0.023,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.5,7.4,7.7,40.7,0.338
27.1387,88.4989,2014-11-05,1373.4,18.9,288.6,0.016,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.0,7.7,8.4,35.4,0.13
23.7295,92.7835,2018-12-19,1193.5,12.9,263.4,-0.028,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.2,0.4,2.7,4.8,0.2
27.4338,88.2734,2018-07-28,1317.3,17.9,179.4,-0.023,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,24.7,68.5,113.3,233.0,0.361
